deg,Nan_last,Max_last,Nan_full,Max_full
101,0.567323,0.468165,0.701185,0.761024
101.5,0.569785,0.473715,0.705701,0.767481
102,0.570152,0.477591,0.707034,0.769908
102.5,0.572468,0.483074,0.711365,0.776608
103,0.572992,0.487013,0.712559,0.779542
103.5,0.574878,0.492571,0.716013,0.785042
104,0.575747,0.496448,0.717254,0.788901
104.5,0.576781,0.501629,0.719552,0.793149
105,0.577927,0.505785,0.721782,0.797826
105.5,0.578132,0.510576,0.722446,0.800926
106,0.579806,0.515178,0.725432,0.80649
106.5,0.579162,0.519241,0.725276,0.808737
107,0.580823,0.524431,0.728264,0.814537
107.5,0.580125,0.528114,0.727689,0.816698
108,0.581076,0.53302,0.730356,0.821624
108.5,0.580979,0.536531,0.729829,0.824457
109,0.580908,0.541138,0.730795,0.82849
109.5,0.580923,0.545232,0.731261,0.831981
110,0.580313,0.549327,0.730879,0.835061
110.5,0.580572,0.553739,0.732173,0.839951
111,0.579047,0.55712,0.730322,0.841604
111.5,0.57941,0.561446,0.731476,0.845829
112,0.577747,0.564627,0.729211,0.846942
112.5,0.577697,0.569271,0.729861,0.851079
113,0.57598,0.572375,0.727287,0.851695
113.5,0.575271,0.576244,0.727352,0.855017
114,0.573756,0.579444,0.725519,0.856404
114.5,0.572064,0.582827,0.723258,0.857733
115,0.571136,0.586482,0.722727,0.860118
115.5,0.568518,0.589123,0.719387,0.860114
116,0.567829,0.592991,0.718816,0.862252
116.5,0.56502,0.595206,0.714252,0.861352
117,0.563957,0.598599,0.7137,0.863803
117.5,0.560611,0.600657,0.709425,0.862468
118,0.559299,0.603719,0.707398,0.86352
118.5,0.55636,0.605886,0.703816,0.86269
119,0.553999,0.608366,0.700783,0.8628
119.5,0.551919,0.610409,0.698017,0.862911
120,0.54861,0.612258,0.693604,0.86129
120.5,0.546933,0.614775,0.691626,0.862152
121,0.542946,0.615661,0.68618,0.85926
121.5,0.541064,0.61783,0.684496,0.859895
122,0.537046,0.618658,0.678903,0.857112
122.5,0.534981,0.620361,0.676969,0.857215
123,0.530993,0.621104,0.671616,0.854655
123.5,0.528246,0.622388,0.668559,0.853546
124,0.524662,0.623294,0.665011,0.851709
124.5,0.520653,0.623352,0.660195,0.849414
125,0.518115,0.624277,0.657617,0.848138
125.5,0.513354,0.623929,0.651817,0.844307
126,0.510521,0.625028,0.64999,0.843659
126.5,0.505601,0.623914,0.643679,0.839376
127,0.502622,0.62464,0.641357,0.838278
127.5,0.497662,0.623111,0.635942,0.834182
128,0.49439,0.623233,0.632739,0.832645
128.5,0.489603,0.622316,0.628176,0.828938
129,0.485041,0.621404,0.623166,0.825705
129.5,0.481267,0.620843,0.620104,0.823644
130,0.475751,0.619279,0.614085,0.818722
130.5,0.472237,0.618757,0.612005,0.817069
131,0.466331,0.617092,0.605248,0.811134
131.5,0.462735,0.617136,0.603306,0.809821
132,0.457013,0.615393,0.596426,0.804141
132.5,0.452843,0.615186,0.5939,0.801975
133,0.447033,0.613859,0.588452,0.797221
133.5,0.442323,0.612736,0.583661,0.793391
134,0.437496,0.61155,0.579474,0.790091
134.5,0.431686,0.609913,0.573278,0.784892
135,0.427106,0.609067,0.570426,0.782672
135.5,0.42091,0.60643,0.563186,0.776423
136,0.416675,0.606018,0.560861,0.774718
136.5,0.40998,0.603164,0.553359,0.768079
137,0.406141,0.602429,0.550785,0.766234
137.5,0.399492,0.599676,0.544118,0.760139
138,0.394446,0.597947,0.539828,0.756994
138.5,0.388766,0.59589,0.535297,0.752506
139,0.383102,0.593445,0.528871,0.747502
139.5,0.378212,0.591891,0.525945,0.744389
140,0.371441,0.588236,0.518955,0.73781
140.5,0.367247,0.586991,0.516528,0.735876
141,0.360082,0.583199,0.50918,0.728722
141.5,0.356108,0.582047,0.506391,0.72685
142,0.349047,0.577697,0.499958,0.720103
142.5,0.344437,0.575712,0.496244,0.716798
143,0.338508,0.572494,0.491708,0.711612
143.5,0.33267,0.569124,0.485982,0.706271
144,0.327769,0.566599,0.482863,0.703164
144.5,0.321217,0.562574,0.476086,0.695982
145,0.316963,0.560166,0.474515,0.694239
145.5,0.309818,0.555781,0.467145,0.686315
146,0.306262,0.55352,0.465406,0.684574
146.5,0.299175,0.548624,0.458869,0.676841
147,0.295026,0.54622,0.456252,0.673883
147.5,0.289057,0.541904,0.451053,0.667744
148,0.283974,0.538322,0.446606,0.662847
148.5,0.279036,0.534941,0.443466,0.658849
149,0.272843,0.530352,0.437592,0.651976
149.5,0.26948,0.527569,0.435956,0.649641
150,0.262469,0.522443,0.429032,0.641272
150.5,0.25934,0.520238,0.427973,0.639651
151,0.252469,0.514946,0.421528,0.631641
151.5,0.249093,0.512305,0.419146,0.628918
152,0.243448,0.507341,0.414356,0.622174
152.5,0.239303,0.504156,0.4105,0.617511
153,0.234493,0.50031,0.407227,0.613042
153.5,0.229258,0.496302,0.401693,0.606332
154,0.225931,0.493292,0.400308,0.603783
154.5,0.21991,0.488313,0.394104,0.595983
155,0.217524,0.48653,0.393467,0.594283
155.5,0.21129,0.48116,0.386901,0.586325
156,0.208726,0.479117,0.38594,0.584469
156.5,0.203231,0.474218,0.38096,0.577401
157,0.199957,0.471716,0.378223,0.57411
157.5,0.19537,0.468056,0.374628,0.56994
158,0.191008,0.464605,0.370309,0.564627
158.5,0.187841,0.462092,0.368396,0.562598
159,0.182466,0.457468,0.363054,0.555214
159.5,0.180415,0.456354,0.362415,0.555165
160,0.174708,0.451216,0.356219,0.548235
160.5,0.17255,0.450174,0.35564,0.54741
161,0.167072,0.445723,0.350044,0.541813
161.5,0.164588,0.444055,0.34767,0.539871
162,0.16023,0.440646,0.343608,0.536008
162.5,0.156297,0.437848,0.339391,0.532299
163,0.153544,0.435775,0.337128,0.531354
163.5,0.148549,0.43167,0.331114,0.52583
164,0.146648,0.430689,0.329816,0.526201
164.5,0.140748,0.425971,0.322923,0.520179
165,0.13986,0.425627,0.321958,0.52102
165.5,0.133799,0.420709,0.315246,0.515124
166,0.132225,0.419656,0.312505,0.514862
166.5,0.127725,0.416263,0.307568,0.510776
167,0.124397,0.413724,0.302883,0.508178
167.5,0.121661,0.411309,0.299496,0.506469
168,0.117152,0.407473,0.292916,0.501352
168.5,0.115313,0.406355,0.291055,0.501775
169,0.109688,0.40175,0.28303,0.494631
169.5,0.108772,0.401052,0.281597,0.495716
170,0.10348,0.396141,0.273711,0.488494
170.5,0.102169,0.395127,0.27037,0.488293
